Time,Content,Date
2016-01-02 18:52:31,Wealthy hedge-fund managers are sick of their clients (and the clients aren't so excited about them either.)  https://t.co/DxrovhsJ3V,2016-01-02
2016-01-02 19:01:32,How many small steps toward default does it take to undermine global sovereign debt markets? https://t.co/zcJBeWok7x h/t @elerianm,2016-01-02
2016-01-02 19:04:45,More credit hedge fund liquidations... https://t.co/wELgYoyntQ @laurajkeller @business,2016-01-02
2016-01-02 19:09:35,The U.S. shale boom has run out of time. https://t.co/gXcAc1vplk @business,2016-01-02
2016-01-02 19:40:03,"Venice, a uniquely expensive city to run, is facing a not-so-unique debt crisis. https://t.co/V8Sb4P1Z5S",2016-01-02
2016-01-03 14:35:56,An inauspicious sign for energy companies hoping for higher crude values: Russian oil output hits post-Soviet record https://t.co/itiEvICCN2,2016-01-03
2016-01-04 00:37:34,Wilbur Ross: Puerto Rico is the U.S. version of Greece https://t.co/1BKcAUy9dL,2016-01-04
2016-01-04 01:30:55,Here's a good primer on the latest tensions between Iran &amp; Saudi Arabia &amp; how the situation could escalate https://t.co/ibYOLjc2n4 @business,2016-01-04
2016-01-04 01:37:23,Computers that can recreate human judgement in chess are applying their methods to underwriting consumer loans. https://t.co/xlj9MrWtSm,2016-01-04
2016-01-04 01:46:57,The European Union needs to throw a lot more cash at its weakest members or gird for divorce. https://t.co/9miLZ1noiI,2016-01-04
2016-01-04 03:20:37,"China stocks are plunging, poised for worst-ever start to a year on growth corncerns https://t.co/hnVwRPSsX7 @markets",2016-01-04
2016-01-04 13:00:06,"Seems a bit odd for a Fed official to talk about popping asset bubbles now, amid a selloff in riskier securities. https://t.co/97xsAzpSWJ",2016-01-04
2016-01-04 13:05:10,China’s plan to restore calm to one of the world’s most volatile equity markets is failing. https://t.co/V0V91R6tmV @business,2016-01-04
2016-01-04 13:10:15,BlackRock sees ETFs replacing swaps &amp; futures for many investors. https://t.co/suXFlv3R5A @ynakamura56 @business,2016-01-04
2016-01-04 13:59:45,GM sponsors Lyft's vision of a network of self-driving cars that riders can call up on-demand. https://t.co/xzKv5sSmR7 @technology,2016-01-04
2016-01-04 15:01:38,Ugly. https://t.co/nsSFKeZAlM @business,2016-01-04
2016-01-04 15:02:52,Manufacturing in the U.S. contracted in December at the fastest pace in more than six years. https://t.co/vdjFG0zngr @business,2016-01-04
2016-01-04 15:27:26,About 75% of European hedge funds that closed in 2015 managed $150 million or less. https://t.co/eZEABJGy4J @nishantkumar07 @business,2016-01-04
2016-01-04 16:29:45,Some hedge funds &amp; Jeff Gundlach are probably pretty happy right now. https://t.co/bE9Io5b6VF @BChappatta @business,2016-01-04
2016-01-04 17:21:59,Blackstone's Byron Wien predicts U.S. stocks will lose value this year &amp; that the Fed will only hike rates once. https://t.co/yod9b5j8hM,2016-01-04
2016-01-04 17:34:07,Perhaps it pays to bet against Byron Wien's predictions? https://t.co/qKsy79RhA1,2016-01-04
2016-01-04 17:41:06,"Bond traders are starting to sour on high-grade US companies, &amp; that's bad news for stocks beyond today's selloff. https://t.co/L3Lm1SkKnk",2016-01-04
2016-01-04 18:11:16,Brazil is heading toward the worst recession since 1901. https://t.co/t6ltCgsCjO @DLBiller @business,2016-01-04
2016-01-04 18:44:46,And another year of Fed rate-hike promises begins... https://t.co/x6SEEoVPUp,2016-01-04
2016-01-04 19:20:52,@TenYearNote Outlier ideas that Byron sees as having a better than 50% likelihood of happening.,2016-01-04
2016-01-04 19:36:48,"@TenYearNote Some contrarian bets could've gone very right in 2015 - i.e. Russian government bonds, Chinese HY debt, Greek bonds.",2016-01-04
2016-01-04 19:39:53,@TenYearNote It was tongue in cheek. You're right. Besides there's value in thinking abt contrarian views regardless of whether they pan out,2016-01-04
2016-01-04 22:22:11,The most acceptable energy investments of 2015 may be less protective this year: @liamdenning https://t.co/RLW4FBggN2 @bfly,2016-01-04
2016-01-05 02:02:43,"An analyst who predicted last year's selloff in Chinese stocks sees a ""big risk"" that the equities will fall further https://t.co/JEpsYQvwii",2016-01-05
2016-01-05 02:11:35,Bond insurers want Puerto Rico to replace almost $100 million of rum-tax revenues they claim the island misused. https://t.co/awlL1Eoq2Y,2016-01-05
2016-01-05 10:38:24,"China says it wants more independent markets, but it can't seem to stomach the roller coaster right now. https://t.co/aLMRlyGUne @business",2016-01-05
2016-01-05 12:01:01,"A ""Grexit"" in 2016 may be the beginning of the end of Europe's monetary union: Nouriel Roubini https://t.co/c7sfWEpGl2",2016-01-05
2016-01-05 12:30:00,@AndrewRSorkin highlights a conflict of interest in the way leveraged buyouts are legally reviewed. https://t.co/Kttl5heqE2,2016-01-05
2016-01-05 12:56:08,"Another hedge fund shutters, saying algorithmically-driven markets are ""incompatible"" with its fundamental approach. https://t.co/zRBp4JxYFo",2016-01-05
2016-01-05 12:58:43,Expect more retailer defaults this year. https://t.co/yMz1CESZ9H @jodixu @laurenlochner @business,2016-01-05
2016-01-05 13:02:11,BlackRock still thinks U.S. government bond yields are going to rise this year. https://t.co/4CQZQCNl9t @richwesgoodman @markets,2016-01-05
2016-01-05 13:30:37,@ritholtz I Do Not Understand There Is No Problem With Machine-Like Humans,2016-01-05
2016-01-05 14:46:45,"""A true bubble was in '07, '08...You could put a dead squirrel carcass in a pizza box &amp; it would get oversubscribed"" https://t.co/cZfQGs5Qeq",2016-01-05
2016-01-05 15:21:56,@naumenko_roman The full letter is interesting: {https://t.co/X5f0PO69YA},2016-01-05
2016-01-05 17:35:56,Kyle Bass thinks it’s a wonderful time to invest in energy companies. Good luck trying to do that effectively. https://t.co/tykUIIyYgF @bfly,2016-01-05
2016-01-05 17:53:32,@messerto Yes. There'll be probably be big winners but they'll likely do something different than just buying an oil ETF &amp; holding for 2 yrs,2016-01-05
2016-01-05 18:14:37,"Investors have a Pavlovian ""buy"" response to selloffs, but that may not work so well this time around: @elerianm https://t.co/Tk3PIazaeh",2016-01-05
2016-01-05 19:46:32,The Fed is worried about shadow-banking activities. https://t.co/JQrdsPWcZJ @business,2016-01-05
2016-01-05 21:02:12,U.S. stock traders should stop paying so much attention to Chinese equities: @reganonymous https://t.co/FIL2ELSWPg @bfly,2016-01-05
2016-01-05 21:20:30,"""If none of your loans have gone bad, you’re leaving money on the table:"" @kadhimshubber https://t.co/zoTOGApJX3 h/t @jonmarino",2016-01-05
2016-01-05 21:23:33,"Twitter's problems can't be solved with 10,000 characters. https://t.co/hXmFmyN2wB @ShiraOvide @bfly",2016-01-05
2016-01-05 21:24:30,@TradersCom Which are...,2016-01-05
2016-01-05 21:27:39,This bankrupt miner received bids for its assets that exceeded the company's own estimates of its value https://t.co/Lw5QyKLtMc @jodixu,2016-01-05
2016-01-05 21:43:08,"""How can there be a crisis if everyone is so prepared?"" says @kmcpartland https://t.co/wDLHMfkkwB @fion_li @business",2016-01-05
2016-01-06 02:38:55,As if tensions in the middle east weren't enough. ..North Korea seems to be doing some big bomb tests. https://t.co/alebjIIM3b,2016-01-06
2016-01-06 11:00:19,Wall Street is optimistic about junk bonds again. https://t.co/Yef8VDVgR2 @business,2016-01-06
2016-01-06 11:04:06,"You can brag about detonating a hydrogen bomb, North Korea, but markets aren't impressed. https://t.co/peP4ZnE2XD @markets",2016-01-06
2016-01-06 11:06:59,Banks blame HFT for making it hard for them to make markets in US Treasuries. https://t.co/dfmjmTO8ZH,2016-01-06
2016-01-06 13:03:06,“We’ve started this year in a funk..fixed income is still prone to rallying.” https://t.co/6qBy9PtLjO @eshelouise @business,2016-01-06
2016-01-06 13:07:21,China had a bubble in its currency. That bubble is popping. https://t.co/lzIM43Shoq @business,2016-01-06
2016-01-06 13:09:13,@GISF_ND good point.,2016-01-06
2016-01-06 13:13:00,@tyillc @business fair question.,2016-01-06
