Time,Content,Date
2016-01-04 15:42:09,"The Dow began a new year at a 50-day low only one other time in 115 years (1932). FWIW (nothing), it rallied 20% in next 2 weeks.",2016-01-04
2016-01-07 14:16:46,"S&amp;P futures after back-to-back gaps &gt; -1.5%. Among other tests, suggests short-term (1-3 week) panic relief. https://t.co/Ge1mw10ZOl",2016-01-07
2016-01-07 14:22:55,@paststat All returns are from the open of 2nd gap down.,2016-01-07
2016-01-07 17:50:29,"Just because Twitter might be telling us ""don't panic"" doesn't mean it's wrong. https://t.co/fSSoUScHd8",2016-01-07
2016-01-07 17:52:15,"Just because everyone sees that the market is ""oversold"" doesn't mean it's not. https://t.co/fZcfb4ZQD3",2016-01-07
2016-01-07 18:08:41,"@skewedreturns No, too early. Part of the reason is it takes time for the news articles to be reflected in the stream.",2016-01-07
2016-01-07 18:09:46,"@codytrades Correct, it only goes back a year. More data would always be better.",2016-01-07
2016-01-08 03:15:30,"This is likely incomplete, but it has paid to be a buyer when CNBC pulls out its Markets In Turmoil. https://t.co/s5gUo7VS9O",2016-01-08
2016-01-08 17:57:15,"@carlquintanilla Anyone have the dates? My sources were press releases, Facebook posts and Google searches for the station &amp; personalities.",2016-01-08
2016-01-08 20:01:48,"@OntheMoneyUK 16% of the time since 1928. Monday accounted for 27% of them, Tuesday 21%, Wednesday 17%, Thursday 15%.",2016-01-08
2016-01-08 22:42:43,"@QuantStratTradR @EconomPic For Heaven's sake, it's not a trading system.",2016-01-08
2016-01-09 15:42:37,"@hmeisler @InterestRateArb No, I would defer to @HamzeiAnalytics on that.",2016-01-09
2016-01-09 20:56:51,@trengriffin @johnauthers By *FORECASTING* that others will recognize value at some point after you buy.,2016-01-09
2016-01-11 20:16:12,The S&amp;P closed at a 3-month low on a Monday 55 times. Only 5 of those saw the VIX drop. It rallied over the next month after 4 of them.,2016-01-11
2016-01-14 15:09:36,More than 3 put options traded for every call in $TWTR over the past month. https://t.co/GjPtPbbJ9H,2016-01-14
2016-01-14 15:33:58,"Is this bear market behavior...gap up, then close &lt; open? Past 20 years, 26% of bear mkt days did this. In bull mkts? 25%. So...no.",2016-01-14
2016-01-15 17:30:38,@AlpineBV_Miller Yes...it's just less common. About half as frequently as a Monday.,2016-01-15
2016-01-16 02:15:20,"According to the NY Times, on July 25 it was great to be buy-and-hold because markets were quiet, but now it's wise to have no idea. Hmm.",2016-01-16
2016-01-17 15:46:10,@urmyes1 Yep!  @EricDBrown,2016-01-17
2016-01-19 16:17:43,"Since the 2008 crisis, only two days had more financial stocks at new lows than Friday did. $XLF https://t.co/7ifMK4wQhd",2016-01-19
2016-01-20 17:03:59,"If we close with the current stats, there were only 2 days since 1940 with worse Up Volume over 1 and 10 days: 10/19/87 &amp; 8/8/11.",2016-01-20
2016-01-20 18:33:56,"Media mentions of ""bear market"". One of these days, Alice. https://t.co/qq6q5fUVqr",2016-01-20
2016-01-22 14:22:13,Seriously with these ratings firms. One of the best contrary indicators extant. https://t.co/Nx1FpX53sb,2016-01-22
2016-01-22 14:58:13,"The last time Chesapeake suspended its dividend, Sept '98, was after 96% decline...and prior to 5000% gain. https://t.co/HCFfFypekc",2016-01-22
2016-01-22 15:01:10,@zshrier yes,2016-01-22
2016-01-22 15:05:13,"@wboscoho It's never the same, just similar. But necessary for the stock(s) to recover long-term.",2016-01-22
2016-01-22 15:22:31,"@WarrenPies @AxGlobalAdv Not their preferred. Also, rarely coincides with short-term bottom, but point is long-term.",2016-01-22
2016-01-30 15:53:00,"Among currencies, commodities, countries and sectors, the best upcoming seasonality is in energy (XLE). https://t.co/csSqURthBP",2016-01-30
2016-02-03 17:34:40,@TommyThornton @todd_harrison @chillipickle7 OTC notional exposure globally to commod ex gold lowest in 10 yrs. https://t.co/0r8sfmW1Ur,2016-02-03
2016-02-03 17:42:07,@tsomerv https://t.co/evpKIl9MIq,2016-02-03
2016-02-04 14:41:54,"Gold miner optimism stretched short-term, close medium-term (10d avg), still room longer-term (20d avg). https://t.co/NaduLtfIWN",2016-02-04
2016-02-17 20:55:41,"@capital1point1 I don't suggest anyone use them as trading systems. ""Math folk"" will always find fault. I am a trader, not academic.",2016-02-17
